UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
MG,31,48707,Pedra Azul,24.333
MG,31,48756,Pedra Bonita,7.157
MG,31,48806,Pedra do Anta,2.960
MG,31,48905,Pedra do Indaiá,3.977
MG,31,49002,Pedra Dourada,2.559
MG,31,49101,Pedralva,11.098
MG,31,49150,Pedras de Maria da Cruz,12.313
MG,31,49200,Pedrinópolis,3.651
MG,31,49309,Pedro Leopoldo,65.149
MG,31,49408,Pedro Teixeira,1.804
MG,31,49507,Pequeri,3.340
MG,31,49606,Pequi,4.457
MG,31,49705,Perdigão,11.994
MG,31,49804,Perdizes,16.469
MG,31,49903,Perdões,21.577
MG,31,49952,Periquito,6.738
MG,31,50000,Pescador,4.261
MG,31,50109,Piau,2.719
MG,31,50158,Piedade de Caratinga,8.832
MG,31,50208,Piedade de Ponte Nova,4.141
MG,31,50307,Piedade do Rio Grande,4.436
MG,31,50406,Piedade dos Gerais,5.034
MG,31,50505,Pimenta,8.715
MG,31,50539,Pingo-d'Água,5.029
MG,31,50570,Pintópolis,7.540
MG,31,50604,Piracema,6.386
MG,31,50703,Pirajuba,6.491
MG,31,50802,Piranga,17.641
MG,31,50901,Piranguçu,5.504
MG,31,51008,Piranguinho,8.683
MG,31,51107,Pirapetinga,10.791
MG,31,51206,Pirapora,56.845
MG,31,51305,Piraúba,10.732
MG,31,51404,Pitangui,28.433
MG,31,51503,Piumhi,35.137
MG,31,51602,Planura,12.445
MG,31,51701,Poço Fundo,16.900
MG,31,51800,Poços de Caldas,169.838
MG,31,51909,Pocrane,8.288
MG,31,52006,Pompéu,32.248
MG,31,52105,Ponte Nova,60.003
MG,31,52131,Ponto Chique,4.305
MG,31,52170,Ponto dos Volantes,12.235
MG,31,52204,Porteirinha,37.823
MG,31,52303,Porto Firme,11.414
MG,31,52402,Poté,16.675
MG,31,52501,Pouso Alegre,154.293
MG,31,52600,Pouso Alto,5.862
MG,31,52709,Prados,9.128
MG,31,52808,Prata,28.173
MG,31,52907,Pratápolis,8.530
MG,31,53004,Pratinha,3.658
